Mood Text,Sentiment Label,Yoga Recommendation
Today feels neither good nor bad.,NEUTRAL,"Balanced Yoga for Everyday Practice, Simple Flow"
I’m feeling reflective and introspective.,NEUTRAL,"Gentle Meditation Yoga, Poses for Reflection"
Nothing out of the ordinary today.,NEUTRAL,"Routine Stretching Flow, Calm Yoga for Balance"
"I feel at ease, but not particularly joyful.",NEUTRAL,"Relaxation Hatha, Light Wind-Down Yoga"
I’m in a contemplative mood today.,NEUTRAL,"Gentle Stretch and Meditation, Neutral Energy Flow"
Life feels consistent and steady today.,NEUTRAL,"Stability and Balance Flow, Centering Asanas"
I’m hopeful and inspired to do my best.,POSITIVE,"Inspiration Yoga Flow, Energizing Warrior Poses"
I feel like everything is in harmony.,POSITIVE,"Harmonizing Flow, Heart Centered Yoga"
I’m worried about tomorrow’s challenges.,NEGATIVE,"Stress-Reducing Yoga, Calming Mindful Practices"
I’m feeling stuck in my thoughts.,NEGATIVE,"Grounding Yin Yoga, Focused Mind Flow"
I feel light and full of energy today.,POSITIVE,"Power Yoga Flow, Energizing Morning Routine"
I’m feeling joyous and grateful.,POSITIVE,"Gratitude Meditation, Heart-Opening Asanas"
I’m on top of the world today!,POSITIVE,"Dynamic Flow, Vinyasa Sun Salutations"
My heart feels open and free.,POSITIVE,"Heart Chakra Yoga, Uplifting Flow"
I’m ready to take on new challenges!,POSITIVE,"Warrior Yoga, Empowering Flow"
"My body is tired, but my mind is restless.",NEGATIVE,"Calming Yoga, Deep Breathing Exercises"
I feel overwhelmed by all the responsibilities.,NEGATIVE,"Stress Reduction Yoga, Mindful Breathing"
I’m experiencing a lot of tension today.,NEGATIVE,"Tension Release Yoga, Gentle Stretching"
"I’m exhausted, mentally and physically.",NEGATIVE,"Restorative Yoga, Gentle Yoga Flow"
I feel disconnected and anxious.,NEGATIVE,"Deep Breathing Yoga, Grounding Poses"
"I’m feeling indifferent, just another day.",NEUTRAL,"Balanced Hatha Yoga, Restorative Flow"
"I feel okay, not too energetic but steady.",NEUTRAL,"Mindful Yoga, Gentle Flow"
I’m feeling balanced and centered today.,NEUTRAL,"Centering Yoga, Gentle Flow"
"It’s a normal day, nothing special.",NEUTRAL,"Routine Stretching Flow, Calm Yoga for Balance"
I feel peaceful and at ease.,POSITIVE,"Inner Peace Yoga, Mindful Heart Flow"
I’m excited for what the day will bring.,POSITIVE,"Power Vinyasa Flow, Dynamic Energy Yoga"
I’m feeling low today.,NEGATIVE,"Grounding Yoga, Relaxing Deep Breathing"
I feel mentally drained.,NEGATIVE,"Restorative Yoga, Yin Yoga for Stress Relief"
I’m uncertain and overwhelmed.,NEGATIVE,"Calming Hatha Yoga, Stress Relief Flow"
"I feel neutral, not much to say.",NEUTRAL,"Easy Yoga for Beginners, Gentle Stretching Flow"
I feel calm but not particularly motivated.,NEUTRAL,"Gentle Hatha Flow, Light Stretching Sequence"
I feel very connected to the present moment.,POSITIVE,"Present Moment Yoga, Grounding Asanas"
I’m energized and ready for action.,POSITIVE,"Energy Boost Yoga, Sun Salutations"
I feel overworked and stressed.,NEGATIVE,"Relaxation Yoga, Deep Breathing for Stress Relief"
I feel a sense of emotional heaviness.,NEGATIVE,"Grounding Yoga, Yin Yoga for Emotional Balance"
I’m just trying to make it through the day.,NEUTRAL,"Gentle Stretch Yoga, Relaxing Flow"
I’m feeling more flexible and free today.,POSITIVE,"Flexibility Flow, Dynamic Asanas"
I’m feeling off-balance emotionally.,NEGATIVE,"Restorative Yoga, Gentle Breathing Exercises"
I feel calm but somewhat distant.,NEUTRAL,"Centering Yoga, Gentle Mindfulness Practice"
I feel motivated and full of vitality.,POSITIVE,"Motivational Yoga, High Energy Flow"
I’m feeling pretty neutral about everything.,NEUTRAL,"Soft Flow, Light Stretching"
I feel very peaceful after meditation.,POSITIVE,"Meditation Flow, Restorative Yoga"
I’m struggling with a lack of focus today.,NEGATIVE,"Focused Yoga, Gentle Clarity Flow"
I feel at peace with myself today.,POSITIVE,"Peaceful Asana Flow, Inner Balance Yoga"
I’m in a very reflective mood today.,NEUTRAL,"Meditation Yoga, Gentle Reflection Flow"
I feel light and grounded.,POSITIVE,"Grounding Yoga Flow, Heart-Opening Asanas"
I’m feeling exhausted from emotional stress.,NEGATIVE,"Restorative Yoga, Gentle Grounding Flow"
My mind feels clear and calm today.,POSITIVE,"Mindfulness Yoga, Clarity Flow"
I feel out of sync with myself.,NEGATIVE,"Gentle Stretch Yoga, Focused Breathing Practice"
I feel detached and unmotivated.,NEGATIVE,"Restorative Yoga, Grounding Asanas"
I’m feeling calm and at ease.,POSITIVE,"Relaxing Flow, Peaceful Morning Yoga"
It’s just one of those average days.,NEUTRAL,"Routine Flow, Gentle Stretching"
I feel somewhat lost today.,NEGATIVE,"Calming Flow, Grounding Poses"
I’m feeling centered but tired.,NEUTRAL,"Gentle Flow, Restorative Asanas"
I feel at peace with my surroundings.,POSITIVE,"Calming Yoga, Centered Flow"
I’m struggling to find joy today.,NEGATIVE,"Gentle Meditation, Restorative Yoga"
I feel flexible and energized today.,POSITIVE,"Flexibility Yoga, Energizing Flow"
I’m feeling overwhelmed by everything.,NEGATIVE,"Relaxation Yoga, Mindfulness Breathing"
I feel balanced and serene.,POSITIVE,"Harmony Yoga Flow, Gentle Stretching"
I’m feeling off and unmotivated today.,NEGATIVE,"Grounding Yoga, Relaxation Poses"
I feel very grounded today.,POSITIVE,"Grounding Yoga Flow, Centering Asanas"
I’m feeling at peace with myself today.,POSITIVE,"Inner Peace Yoga, Uplifting Flow"
I feel tired but accomplished.,NEUTRAL,"Slow Flow Yoga, Restorative Stretching"
I’m emotionally spent today.,NEGATIVE,"Gentle Hatha Yoga, Restorative Flow"
I’m feeling calm but exhausted.,NEUTRAL,"Calming Flow, Gentle Yoga Poses"
I feel great and full of life.,POSITIVE,"Energizing Power Flow, Dynamic Asanas"
I’m feeling centered and calm.,POSITIVE,"Centering Yoga, Grounding Meditation"
I feel emotionally drained.,NEGATIVE,"Gentle Yoga, Relaxation Breathing"
Today feels like a fresh start.,POSITIVE,"Fresh Start Flow, Energizing Asanas"
I feel a sense of relief today.,POSITIVE,"Relief Flow, Heart-Opening Poses"
I feel completely exhausted.,NEGATIVE,"Restorative Yoga, Deep Breathing Exercises"
"I’m feeling okay, just a normal day.",NEUTRAL,"Routine Stretching Flow, Centering Yoga"
I’m motivated and ready for action.,POSITIVE,"Motivation Flow, Empowering Yoga"
I’m feeling quite indifferent today.,NEUTRAL,"Mindful Flow, Gentle Stretching"
I feel overwhelmed with tasks today.,NEGATIVE,"Stress Relief Yoga, Calming Stretching"
I’m feeling joyful and grateful today.,POSITIVE,"Gratitude Yoga, Heart-Opening Flow"
I feel relaxed and grounded.,POSITIVE,"Grounding Yoga Flow, Calming Stretching"
I’m emotionally stable today.,POSITIVE,"Emotional Balance Yoga, Centered Flow"
I feel drained but centered.,NEUTRAL,"Grounding Yoga, Gentle Relaxation Flow"
I feel happy and energized.,POSITIVE,"Energizing Flow, Dynamic Vinyasa"
I feel drained but calm.,NEUTRAL,"Gentle Yoga Flow, Restorative Stretching"
I’m feeling balanced and calm today.,POSITIVE,"Balancing Flow, Grounding Yoga Poses"
I feel mentally exhausted but steady.,NEUTRAL,"Slow Flow, Deep Relaxation Yoga"
I feel peaceful and calm today.,POSITIVE,"Peaceful Yoga, Heart-Opening Flow"
I feel emotionally disconnected.,NEGATIVE,"Grounding Yoga, Mindfulness Practice"
I’m feeling centered and steady.,POSITIVE,"Steady Yoga, Centering Poses"
"I feel indifferent, not good nor bad.",NEUTRAL,"Gentle Yoga for Centering, Restorative Flow"
I’m tired but content.,NEUTRAL,"Slow Flow Yoga, Gentle Stretching"
I feel peaceful and balanced.,POSITIVE,"Calming Yoga, Grounding Flow"
I’m emotionally drained but focused.,NEGATIVE,"Relaxation Yoga, Focused Breathing Practice"
